trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
875,False,"{'a': 0.5, 'e': 0.020656869087560283}",25,11,25.03436798388958,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
876,False,"{'a': 0.5, 'e': 0.02055358474212248}",30,11,33.71078208348724,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
877,False,"{'a': 0.5, 'e': 0.020450816818411866}",20,14,9.476332245096126,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
878,False,"{'a': 0.5, 'e': 0.020348562734319807}",25,8,15.835173226829308,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
879,False,"{'a': 0.5, 'e': 0.02024681992064821}",20,4,27.627080174679058,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
880,False,"{'a': 0.5, 'e': 0.02014558582104497}",25,15,18.740102785661925,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
881,False,"{'a': 0.5, 'e': 0.020044857891939744}",20,4,22.312793964163003,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
882,False,"{'a': 0.5, 'e': 0.019944633602480045}",30,2,41.250449113611204,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
883,False,"{'a': 0.5, 'e': 0.019844910434467643}",20,12,12.25745822244718,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
884,False,"{'a': 0.5, 'e': 0.019745685882295305}",25,13,21.512148243698935,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
885,False,"{'a': 0.5, 'e': 0.019646957452883827}",25,13,21.53600458494947,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
886,False,"{'a': 0.5, 'e': 0.01954872266561941}",20,14,9.424045748346241,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
887,False,"{'a': 0.5, 'e': 0.019450979052291314}",20,13,14.635243875343718,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
888,False,"{'a': 0.5, 'e': 0.019353724157029857}",20,15,8.976775381804412,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
889,False,"{'a': 0.5, 'e': 0.019256955536244708}",30,18,21.407511714155927,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
890,False,"{'a': 0.5, 'e': 0.019160670758563484}",20,3,26.756660566805458,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
891,False,"{'a': 0.5, 'e': 0.019064867404770664}",35,19,24.59400265095823,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
892,False,"{'a': 0.5, 'e': 0.018969543067746814}",30,15,30.038846839236534,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
893,False,"{'a': 0.5, 'e': 0.01887469535240808}",20,14,8.77397246932371,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
894,False,"{'a': 0.5, 'e': 0.018780321875646037}",25,20,9.155822614517382,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
895,False,"{'a': 0.5, 'e': 0.01868642026626781}",25,13,20.78925510205217,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
896,False,"{'a': 0.5, 'e': 0.01859298816493647}",25,18,12.910057982909509,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
897,False,"{'a': 0.5, 'e': 0.018500023224111786}",25,15,22.07976015425285,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
898,False,"{'a': 0.5, 'e': 0.018407523107991226}",20,0,34.859569804001055,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
899,False,"{'a': 0.5, 'e': 0.01831548549245127}",25,0,33.612473687705965,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
900,False,"{'a': 0.5, 'e': 0.018223908064989015}",30,18,22.46523842861798,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
901,False,"{'a': 0.5, 'e': 0.01813278852466407}",25,18,14.095675966758229,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
902,False,"{'a': 0.5, 'e': 0.01804212458204075}",20,12,16.72617885645171,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
903,False,"{'a': 0.5, 'e': 0.017951913959130546}",25,11,28.030940175792896,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
904,False,"{'a': 0.5, 'e': 0.017862154389334892}",35,21,14.339656300757444,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
905,False,"{'a': 0.5, 'e': 0.017772843617388217}",25,18,12.618875863384194,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
906,False,"{'a': 0.5, 'e': 0.017683979399301275}",30,16,26.977219968029704,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
907,False,"{'a': 0.5, 'e': 0.01759555950230477}",20,13,13.302390119612168,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
908,False,"{'a': 0.5, 'e': 0.017507581704793246}",25,13,25.148142334977443,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
909,False,"{'a': 0.5, 'e': 0.01742004379626928}",20,13,14.283699145472456,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
910,False,"{'a': 0.5, 'e': 0.017332943577287933}",20,10,12.174468113031715,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
911,False,"{'a': 0.5, 'e': 0.017246278859401495}",20,6,21.435156649706546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
912,False,"{'a': 0.5, 'e': 0.017160047465104487}",20,14,10.572579384957553,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
913,False,"{'a': 0.5, 'e': 0.017074247227778963}",20,3,32.6606016994807,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
914,False,"{'a': 0.5, 'e': 0.01698887599164007}",20,8,17.214733689375354,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
915,False,"{'a': 0.5, 'e': 0.01690393161168187}",20,0,25.129205662251344,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
916,False,"{'a': 0.5, 'e': 0.016819411953623457}",25,11,28.47560825226348,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
917,False,"{'a': 0.5, 'e': 0.01673531489385534}",25,17,16.62648179152768,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
918,False,"{'a': 0.5, 'e': 0.016651638319386063}",20,11,19.444711928680736,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
919,False,"{'a': 0.5, 'e': 0.016568380127789134}",20,13,11.331816354310286,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
920,False,"{'a': 0.5, 'e': 0.01648553822715019}",20,16,6.336238195246613,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
921,False,"{'a': 0.5, 'e': 0.016403110536014436}",25,1,38.22862009895917,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
922,False,"{'a': 0.5, 'e': 0.016321094983334363}",20,9,17.96367962884577,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
923,False,"{'a': 0.5, 'e': 0.016239489508417693}",30,13,26.45703841511956,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
924,False,"{'a': 0.5, 'e': 0.016158292060875604}",20,11,15.81727989685859,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
925,False,"{'a': 0.5, 'e': 0.016077500600571226}",35,18,28.881336015921217,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
926,False,"{'a': 0.5, 'e': 0.01599711309756837}",30,16,24.99174221027998,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
927,False,"{'a': 0.5, 'e': 0.01591712753208053}",20,15,8.007675283547181,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
928,False,"{'a': 0.5, 'e': 0.015837541894420125}",20,6,25.156055455658656,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
