trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
259,False,"{'a': 0.5, 'e': 1.0}",25,0,-240.08665787177708,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 5}",0
260,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.3052781512687,"{0: 9, 1: 2, 2: 4, 3: 4, 4: 1}",0
261,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.88315917045492,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
262,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.84763847669198,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
263,False,"{'a': 0.5, 'e': 1.0}",30,0,-230.10575114697994,"{0: 14, 1: 5, 2: 6, 3: 2, 4: 3}",0
264,False,"{'a': 0.5, 'e': 1.0}",20,5,-96.4685641808912,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 1}",1
265,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.90168565394013,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
266,False,"{'a': 0.5, 'e': 1.0}",20,7,-66.0818524057328,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
267,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.3047177253822,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
268,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.84484254772485,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
269,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.41911753929452,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
270,False,"{'a': 0.5, 'e': 1.0}",20,3,-87.5897142828004,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 1}",1
271,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.612383041494354,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
272,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.43245396718797,"{0: 9, 1: 6, 2: 1, 3: 1, 4: 3}",0
273,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.36812503773365,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
274,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.63320186012771,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
275,False,"{'a': 0.5, 'e': 1.0}",20,12,-32.770560519504656,"{0: 4, 1: 2, 2: 1, 3: 1, 4: 0}",1
276,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.71425071342742,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
277,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.0546323702039,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
278,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.85524325776264,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
279,False,"{'a': 0.5, 'e': 1.0}",20,0,-227.06820162326727,"{0: 10, 1: 4, 2: 0, 3: 1, 4: 5}",0
280,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.75416020407624,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
281,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.02201221901086,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
282,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.2777213898265,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
283,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.326363084068,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
284,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.19969646904362,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
285,False,"{'a': 0.5, 'e': 1.0}",30,4,-51.58898808168655,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 0}",1
